Iteration	car
0	5090
1	5090
2	5090
3	5090
4	5090
5	5090
6	5089
7	5089
8	5089
9	5089
10	5089
11	5089
12	5089
13	5089
14	5089
15	5090
16	5090
17	5089
18	5089
19	5089
20	5090
21	5089
22	5089
23	5089
24	5089
25	5089
26	5089
27	5089
28	5089
29	5089
30	5089
31	5089
32	5089
33	5089
34	5089
35	5089
36	5089
37	5089
38	5089
39	5089
40	5089
41	5089
42	5089
43	5089
44	5089
45	5089
46	5089
47	5089
48	5089
49	5089
50	5089
51	5089
52	5089
53	5089
54	5089
55	5089
56	5089
57	5089
58	5089
59	5089
60	5089
61	5089
62	5089
63	5089
64	5089
65	5089
66	5089
67	5089
68	5089
69	5089
70	5089
71	5089
72	5089
73	5089
74	5089
75	5089
76	5089
77	5089
78	5089
79	5089
80	5089
81	5089
82	5089
83	5089
84	5089
85	5089
86	5089
87	5089
88	5089
89	5089
90	5089
91	5089
92	5089
93	5089
94	5089
95	5090
96	5089
97	5089
98	5089
99	5089
100	5089
