Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	00:14:39	00:14:39	00:14:39			00:14:39	00:14:39	00:14:39	00:14:39	00:14:39	00:14:39	00:14:39	00:14:42	00:14:42	00:14:42	00:14:42	00:14:42	00:14:42			00:14:46	00:14:46		00:00:00		00:00:00	00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:04	00:00:07
1	00:14:47	00:14:47	00:14:47	00:14:47	00:14:47	00:14:47	00:14:47	00:14:47	00:14:47	00:14:47	00:14:47	00:14:47	00:14:49	00:14:49	00:14:49	00:14:49	00:14:49	00:14:49			00:14:50	00:14:50		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:03
2	00:14:50	00:14:50	00:14:50	00:14:50	00:14:50	00:14:50			00:14:50	00:14:50	00:14:50	00:14:50	00:14:52	00:14:52	00:14:52	00:14:52	00:14:52	00:14:52			00:14:53	00:14:53		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
3	00:14:53	00:14:53	00:14:53	00:14:53	00:14:53	00:14:53			00:14:53	00:14:53	00:14:53	00:14:53	00:14:55	00:14:55	00:14:55	00:14:55	00:14:55	00:14:55			00:14:55	00:14:55		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
4	00:14:55	00:14:55	00:14:55	00:14:55	00:14:56	00:14:56			00:14:56	00:14:56	00:14:56	00:14:56	00:14:57	00:14:57	00:14:57	00:14:57	00:14:57	00:14:57			00:14:58	00:14:58		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
5	00:14:58	00:14:58	00:14:58	00:14:58	00:14:58	00:14:58			00:14:58	00:14:58	00:14:58	00:14:58	00:15:00	00:15:00	00:15:00	00:15:00	00:15:00	00:15:00			00:15:00	00:15:00		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
6	00:15:00	00:15:00	00:15:00	00:15:00	00:15:01	00:15:01			00:15:01	00:15:01	00:15:01	00:15:01	00:15:03	00:15:03	00:15:03	00:15:03	00:15:03	00:15:03			00:15:03	00:15:03		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
7	00:15:03	00:15:03	00:15:03	00:15:03	00:15:03	00:15:03			00:15:03	00:15:03	00:15:03	00:15:03	00:15:05	00:15:05	00:15:05	00:15:05	00:15:05	00:15:05			00:15:06	00:15:06		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
8	00:15:06	00:15:06	00:15:06	00:15:06	00:15:06	00:15:06			00:15:06	00:15:06	00:15:06	00:15:06	00:15:08	00:15:08	00:15:08	00:15:08	00:15:08	00:15:08			00:15:09	00:15:09		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
9	00:15:09	00:15:09	00:15:09	00:15:09	00:15:09	00:15:09			00:15:09	00:15:09	00:15:09	00:15:09	00:15:11	00:15:11	00:15:11	00:15:11	00:15:11	00:15:11			00:15:11	00:15:11		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
10	00:15:12	00:15:12	00:15:12	00:15:12	00:15:12	00:15:12			00:15:12	00:15:12	00:15:12	00:15:12	00:15:13	00:15:13	00:15:13	00:15:13	00:15:13	00:15:13	00:15:13	00:15:13	00:15:14	00:15:14		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00	00:00:00	00:00:00	00:00:02
11	00:15:14	00:15:14	00:15:14	00:15:14	00:15:14	00:15:14			00:15:14	00:15:14	00:15:14	00:15:14	00:15:16	00:15:16	00:15:16	00:15:16	00:15:16	00:15:16			00:15:16	00:15:16		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
12	00:15:16	00:15:16	00:15:17	00:15:17	00:15:17	00:15:17			00:15:17	00:15:17	00:15:17	00:15:17	00:15:18	00:15:18	00:15:18	00:15:18	00:15:18	00:15:18			00:15:19	00:15:19		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
13	00:15:19	00:15:19	00:15:19	00:15:19	00:15:19	00:15:19			00:15:19	00:15:19	00:15:19	00:15:19	00:15:21	00:15:21	00:15:21	00:15:21	00:15:21	00:15:21			00:15:22	00:15:22		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
14	00:15:22	00:15:22	00:15:22	00:15:22	00:15:22	00:15:22			00:15:22	00:15:22	00:15:22	00:15:22	00:15:24	00:15:24	00:15:24	00:15:24	00:15:24	00:15:24			00:15:24	00:15:24		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
15	00:15:24	00:15:24	00:15:24	00:15:24	00:15:24	00:15:24			00:15:24	00:15:24	00:15:24	00:15:24	00:15:26	00:15:26	00:15:26	00:15:26	00:15:26	00:15:26			00:15:27	00:15:27		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
